Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.tagline [single_line_text_field],Metafield: custom.key_benefits [list.single_line_text_field],Metafield: custom.best_for [single_line_text_field]
the-cream,THE CREAM,"<p>THE CREAM from the NUOVAPELLE collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply to face, neck and décolleté and massage until completely absorbed.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), C12-15 ALKYL BENZOATE, CETEARYL ALCOHOL, TRITICUM VULGARE (WHEAT) GERM OIL, DICAPRYLYL ETHER, BUTYROSPERMUM PARKII (SHEA) BUTTER, CETEARYL GLUCOSIDE, DIMETHICONE, PROPYLENE GLYCOL, CELLULOSE, PHENOXYETHANOL, GLYCERYL POLYMETHACRYLATE, GLYCERIN, HYDROXYACETOPHENONE, HYDROXYETHYLCELLULOSE, OLEA EUROPAEA (OLIVE) OIL UNSAPONIFIABLES, ORYZANOL, POTASSIUM CETYL PHOSPHATE , ETHYLHEXYL STEARATE, PEG-8, TETRASODIUM EDTA, NICOTINAMIDE ADENINE DINUCLEOTIDE, SODIUM HYALURONATE, LECITHIN, CITRIC ACID, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, DISODIUM SUCCINATE, SACCHAROMYCES LYSATE, TOCOPHEROL, LINALOOL, ASCORBYL PALMITATE, GLUTAMIC ACID, GLYCINE, THREONINE, VALINE, CITRUS AURANTIUM AMARA (BITTER ORANGE) FLOWER EXTRACT, GERANIOL, PALMITOYL HEXAPEPTIDE-12</p>",DIBI Milano,Nuovapelle,"NUOVAPELLE, Hydrating, Anti-Aging, Brightening",TRUE,Title,Default Title,THE-CREAM,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/the-cream_1.jpg,1,THE CREAM,active,"Iconic DIBI Milano line for visibly renewed, radiant skin.","[""Restores skin's natural radiance"",""Improves overall skin quality"",""Daily ritual essentials"",""Layers across the full Nuovapelle system""]",All Skin Types
the-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/the-cream_2.jpg,2,THE CREAM,,,,
the-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/the-cream_3.jpg,3,THE CREAM,,,,
sumptuous-24h-youth-cream-with-sun-filters,Sumptuous 24h Youth Cream with Sun Filters,"<p>Sumptuous 24h Youth Cream with Sun Filters from the CREAM AND SERUM ANTI AGING AGE METHOD collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply to face, neck and decolleté. Repeat morning and evening.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), CETEARYL ALCOHOL, HYDROGENATED POLYISOBUTENE, GLYCERIN, ETHYLHEXYL METHOXYCINNAMATE, STEARYL ETHYLHEXANOATE, GLYCERYL STEARATE, CETYL ETHYLHEXANOATE, ETHYLHEXYL SALICYLATE, STEARIC ACID, Cetearyl Glucoside, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL , BUTYLENE GLYCOL, PHENOXYETHANOL, PROPYLENE GLYCOL, ETHYLHEXYLGLYCERIN, ISOPROPYL MYRISTATE, ERUCA SATIVA LEAF EXTRACT, HYDROXYPROPYL CYCLODEXTRIN, PARFUM (FRAGRANCE), JOJOBA ESTERS, TRIETHANOLAMINE, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, CETYL ALCOHOL, TETRASODIUM EDTA, PENTYLENE GLYCOL, NIACINAMIDE, SODIUM STARCH OCTENYLSUCCINATE, SODIUM DEHYDROACETATE, ORBIGNYA OLEIFERA SEED OIL, CALCIUM PANTOTHENATE, MALTODEXTRIN, CALENDULA OFFICINALIS FLOWER EXTRACT, CITRIC ACID, SODIUM ASCORBYL PHOSPHATE, LECITHIN, IRIS FLORENTINA ROOT EXTRACT, LINALOOL, LIMONENE, ACACIA DECURRENS FLOWER WAX, POLYGLYCERIN-3, PYRIDOXINE HCL, TOCOPHERYL ACETATE, COUMARIN, TOCOPHEROL, PALMITOYL TRIPEPTIDE-5, ASCORBYL PALMITATE, GERANIOL, SODIUM BENZOATE, CALCIUM CHLORIDE, CUPRIC CHLORIDE, FERRIC CHLORIDE, MAGNESIUM CHLORIDE, MANGANESE CHLORIDE, ZINC CHLORIDE, POTASSIUM SORBATE, SILICA, CI 19140 (YELLOW 5), CI 16035 (RED 40), CI 15985 (YELLOW 6), CI 42090 (BLUE 1)</p>",DIBI Milano,Cream And Serum Anti Aging Age Method,"CREAM AND SERUM ANTI AGING AGE METHOD, Anti-Aging, Brightening, Niacinamide",TRUE,Title,Default Title,SUMPTUOUS-24H-YOUTH-CREAM-WITH-S,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/sumptuous-24h-youth-cream-sun-filters_1.jpg,1,Sumptuous 24h Youth Cream with Sun Filters,active,Advanced formulation targeting visible signs of aging with clinically-proven active ingredients.,"[""Deeply hydrates and plumps skin for a youthful appearance"",""Reduces the appearance of fine lines and wrinkles"",""Strengthens skin barrier for improved resilience"",""Enhances natural radiance and even skin tone""]",All Skin Types
sumptuous-24h-youth-cream-with-sun-filters,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/sumptuous-24h-youth-cream-sun-filters_2.jpg,2,Sumptuous 24h Youth Cream with Sun Filters,,,,
sumptuous-24h-youth-cream-with-sun-filters,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/sumptuous-24h-youth-cream-sun-filters_3.jpg,3,Sumptuous 24h Youth Cream with Sun Filters,,,,
sumptuous-24h-youth-cream-with-sun-filters,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/sumptuous-24h-youth-cream-sun-filters_4.jpg,4,Sumptuous 24h Youth Cream with Sun Filters,,,,
2-in-1-deluxe-baume-for-neck-decollete-eyes-lips,2 in 1 Deluxe Baume for Neck-Decollete-Eyes-Lips,"<p>2 in 1 Deluxe Baume for Neck-Decollete-Eyes-Lips from the CREAM AND SERUM ANTI AGING AGE METHOD collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>During the day apply to the most affected areas of the face: neck, decolleté, eye contour area and lips; massage. For an intensive “sleeping mask” effect, apply to face, neck and decolleté, after your cream; leave on all night.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">PETROLATUM, PARAFFINUM LIQUIDUM (MINERAL OIL), COCO-CAPRYLATE/CAPRATE, ETHYLHEXYL STEARATE, TRIETHYLHEXANOIN, ALUMINUM STARCH OCTENYLSUCCINATE, CERA ALBA (BEESWAX), AQUA (WATER), PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL , GLYCERIN, PARFUM (FRAGRANCE), POLYETHYLENE, TOCOPHERYL ACETATE, CHARCOAL POWDER, ERUCA SATIVA LEAF EXTRACT, ASCORBYL TETRAISOPALMITATE, NIACINAMIDE, ORBIGNYA OLEIFERA SEED OIL, CALENDULA OFFICINALIS FLOWER EXTRACT, LINALOOL, LIMONENE, CITRIC ACID, LECITHIN, COUMARIN, GERANIOL, PALMITOYL TRIPEPTIDE-5, TOCOPHEROL, PHENOXYETHANOL, ASCORBYL PALMITATE, ETHYLHEXYLGLYCERIN, SODIUM BENZOATE, POTASSIUM SORBATE</p>",DIBI Milano,Cream And Serum Anti Aging Age Method,"CREAM AND SERUM ANTI AGING AGE METHOD, Anti-Aging, Brightening, Niacinamide",TRUE,Title,Default Title,2-IN-1-DELUXE-BAUME-FOR-NECK-DEC,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/2-in-1-deluxe-baume-neck-decollete-eyes-lips_1.jpg,1,2 in 1 Deluxe Baume for Neck-Decollete-Eyes-Lips,active,Advanced formulation targeting visible signs of aging with clinically-proven active ingredients.,"[""Deeply hydrates and plumps skin for a youthful appearance"",""Reduces the appearance of fine lines and wrinkles"",""Strengthens skin barrier for improved resilience"",""Enhances natural radiance and even skin tone""]",All Skin Types
2-in-1-deluxe-baume-for-neck-decollete-eyes-lips,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/2-in-1-deluxe-baume-neck-decollete-eyes-lips_2.jpg,2,2 in 1 Deluxe Baume for Neck-Decollete-Eyes-Lips,,,,
2-in-1-deluxe-baume-for-neck-decollete-eyes-lips,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/2-in-1-deluxe-baume-neck-decollete-eyes-lips_3.jpg,3,2 in 1 Deluxe Baume for Neck-Decollete-Eyes-Lips,,,,
